family,model,feature,importance
aeeem,LGB-HP,agewithrespectto_,649.42
aeeem,LGB-HP,weightedagewithrespectto_,487.7
aeeem,LGB-HP,avgcodechurnuntil_,323.4067
aeeem,LGB-HP,codechurnuntil_,310.0
aeeem,LGB-HP,linesaddeduntil_,296.4467
aeeem,LGB-HP,numberofversionsuntil_,296.4
aeeem,LGB-HP,avglinesaddeduntil_,294.72
aeeem,LGB-HP,avglinesremoveduntil_,284.62
aeeem,LGB-HP,linesremoveduntil_,259.82
aeeem,LGB-HP,maxlinesaddeduntil_,246.0867
aeeem,LGB-HP,maxcodechurnuntil_,243.0933
aeeem,LGB-HP,maxlinesremoveduntil_,226.3067
aeeem,LGB-HP,numberofauthorsuntil_,119.4867
aeeem,LGB-HP,numberoffixesuntil_,111.0533
aeeem,LGB-HP,numberofrefactoringsuntil_,48.3467
aeeem,RF,agewithrespectto_,0.1309
aeeem,RF,linesaddeduntil_,0.0906
aeeem,RF,numberofversionsuntil_,0.0885
aeeem,RF,linesremoveduntil_,0.0835
aeeem,RF,weightedagewithrespectto_,0.0763
aeeem,RF,maxcodechurnuntil_,0.0726
aeeem,RF,avglinesaddeduntil_,0.0706
aeeem,RF,maxlinesaddeduntil_,0.0682
aeeem,RF,avglinesremoveduntil_,0.066
aeeem,RF,maxlinesremoveduntil_,0.0658
aeeem,RF,codechurnuntil_,0.0632
aeeem,RF,avgcodechurnuntil_,0.058
aeeem,RF,numberofauthorsuntil_,0.0336
aeeem,RF,numberoffixesuntil_,0.0233
aeeem,RF,numberofrefactoringsuntil_,0.0091
nasa,LGB-HP,halstead_content,857.6267
nasa,LGB-HP,halstead_difficulty,623.9333
nasa,LGB-HP,halstead_effort,522.4
nasa,LGB-HP,loc_executable,508.9533
nasa,LGB-HP,loc_total,501.1733
nasa,LGB-HP,loc_blank,497.7267
nasa,LGB-HP,loc_comments,457.1533
nasa,LGB-HP,cyclomatic_density,428.7111
nasa,LGB-HP,num_unique_operands,427.5667
nasa,LGB-HP,percent_comments,423.9444
nasa,LGB-HP,normalized_cylomatic_complexity,404.5778
nasa,LGB-HP,number_of_lines,384.6889
nasa,LGB-HP,num_unique_operators,368.94
nasa,LGB-HP,halstead_length,360.9933
nasa,LGB-HP,num_operands,346.5533
nasa,LGB-HP,call_pairs,337.7
nasa,LGB-HP,num_operators,326.14
nasa,LGB-HP,branch_count,289.9333
nasa,LGB-HP,halstead_volume,283.9667
nasa,LGB-HP,edge_count,282.1222
nasa,LGB-HP,design_complexity,232.0133
nasa,LGB-HP,halstead_level,224.9067
nasa,LGB-HP,design_density,204.9889
nasa,LGB-HP,halstead_error_est,201.2933
nasa,LGB-HP,loc_code_and_comment,197.3667
nasa,LGB-HP,node_count,183.9556
nasa,LGB-HP,halstead_prog_time,181.92
nasa,LGB-HP,maintenance_severity,178.2
nasa,LGB-HP,parameter_count,163.2333
nasa,LGB-HP,cyclomatic_complexity,151.8
nasa,LGB-HP,essential_complexity,144.5467
nasa,LGB-HP,condition_count,135.8778
nasa,LGB-HP,decision_density,89.2
nasa,LGB-HP,decision_count,75.2444
nasa,LGB-HP,essential_density,59.7556
nasa,LGB-HP,modified_condition_count,34.8556
nasa,LGB-HP,multiple_condition_count,22.4556
nasa,LGB-HP,global_data_complexity,0.0
nasa,LGB-HP,global_data_density,0.0
nasa,LGB-HP,pathological_complexity,0.0
nasa,RF,halstead_content,0.0671
nasa,RF,loc_total,0.0629
nasa,RF,number_of_lines,0.0544
nasa,RF,halstead_volume,0.0521
nasa,RF,num_unique_operands,0.0509
nasa,RF,loc_executable,0.0468
nasa,RF,loc_blank,0.0465
nasa,RF,halstead_length,0.0438
nasa,RF,halstead_effort,0.0434
nasa,RF,halstead_prog_time,0.0432
nasa,RF,num_operators,0.0422
nasa,RF,num_operands,0.0408
nasa,RF,normalized_cylomatic_complexity,0.0406
nasa,RF,loc_comments,0.0393
nasa,RF,halstead_difficulty,0.0381
nasa,RF,cyclomatic_density,0.0364
nasa,RF,percent_comments,0.0349
nasa,RF,call_pairs,0.0343
nasa,RF,num_unique_operators,0.0312
nasa,RF,halstead_error_est,0.0288
nasa,RF,node_count,0.028
nasa,RF,edge_count,0.026
nasa,RF,halstead_level,0.0231
nasa,RF,design_complexity,0.0221
nasa,RF,branch_count,0.02
nasa,RF,cyclomatic_complexity,0.0189
nasa,RF,design_density,0.0165
nasa,RF,loc_code_and_comment,0.0145
nasa,RF,maintenance_severity,0.0141
nasa,RF,parameter_count,0.0123
nasa,RF,multiple_condition_count,0.0119
nasa,RF,essential_complexity,0.0115
nasa,RF,condition_count,0.011
nasa,RF,modified_condition_count,0.0105
nasa,RF,decision_count,0.0102
nasa,RF,decision_density,0.0076
nasa,RF,essential_density,0.0058
nasa,RF,global_data_complexity,0.0
nasa,RF,global_data_density,0.0
nasa,RF,pathological_complexity,0.0
promise-ck,LGB-HP,cam,381.2933
promise-ck,LGB-HP,amc,363.9367
promise-ck,LGB-HP,loc,358.7467
promise-ck,LGB-HP,cbo,358.19
promise-ck,LGB-HP,rfc,304.1267
promise-ck,LGB-HP,ce,281.1967
promise-ck,LGB-HP,lcom3,271.1867
promise-ck,LGB-HP,avg_cc,248.2533
promise-ck,LGB-HP,ca,203.8867
promise-ck,LGB-HP,lcom,193.17
promise-ck,LGB-HP,npm,180.3733
promise-ck,LGB-HP,mfa,176.3033
promise-ck,LGB-HP,wmc,173.83
promise-ck,LGB-HP,max_cc,145.7667
promise-ck,LGB-HP,moa,83.3567
promise-ck,LGB-HP,dit,82.02
promise-ck,LGB-HP,dam,68.6467
promise-ck,LGB-HP,cbm,67.8367
promise-ck,LGB-HP,noc,55.94
promise-ck,LGB-HP,ic,51.42
promise-ck,RF,loc,0.0967
promise-ck,RF,rfc,0.0871
promise-ck,RF,cbo,0.0865
