family,dataset,model,seed,precision,recall,f1
promise-ck,ant-1.7,LR,0,0.5833333333333334,0.7,0.6363636363636364
promise-ck,ant-1.7,RF,0,0.7241379310344828,0.42,0.5316455696202531
promise-ck,ant-1.7,XGB,0,0.6,0.6,0.6
promise-ck,ant-1.7,LGB,0,0.6326530612244898,0.62,0.6262626262626263
promise-ck,ant-1.7,Stacking,0,0.8148148148148148,0.44,0.5714285714285714
promise-ck,ant-1.7,RF-HP,0,0.673469387755102,0.66,0.6666666666666666
promise-ck,ant-1.7,XGB-HP,0,0.603448275862069,0.7,0.6481481481481481
promise-ck,ant-1.7,LGB-HP,0,0.6875,0.66,0.673469387755102
promise-ck,ant-1.7,RF-SMOTE,0,0.5892857142857143,0.66,0.6226415094339622
promise-ck,ant-1.7,LR,1,0.5384615384615384,0.7,0.6086956521739131
promise-ck,ant-1.7,RF,1,0.75,0.42,0.5384615384615384
promise-ck,ant-1.7,XGB,1,0.5869565217391305,0.54,0.5625
promise-ck,ant-1.7,LGB,1,0.6046511627906976,0.52,0.5591397849462365
promise-ck,ant-1.7,Stacking,1,0.7407407407407407,0.4,0.5194805194805194
promise-ck,ant-1.7,RF-HP,1,0.6086956521739131,0.56,0.5833333333333334
promise-ck,ant-1.7,XGB-HP,1,0.5862068965517241,0.68,0.6296296296296297
promise-ck,ant-1.7,LGB-HP,1,0.5957446808510638,0.56,0.5773195876288659
promise-ck,ant-1.7,RF-SMOTE,1,0.6666666666666666,0.6,0.631578947368421
promise-ck,ant-1.7,LR,2,0.47297297297297297,0.7,0.5645161290322581
promise-ck,ant-1.7,RF,2,0.6578947368421053,0.5,0.5681818181818182
promise-ck,ant-1.7,XGB,2,0.5660377358490566,0.6,0.5825242718446602
promise-ck,ant-1.7,LGB,2,0.5769230769230769,0.6,0.5882352941176471
promise-ck,ant-1.7,Stacking,2,0.6285714285714286,0.44,0.5176470588235295
promise-ck,ant-1.7,RF-HP,2,0.5660377358490566,0.6,0.5825242718446602
promise-ck,ant-1.7,XGB-HP,2,0.5166666666666667,0.62,0.5636363636363636
promise-ck,ant-1.7,LGB-HP,2,0.5849056603773585,0.62,0.6019417475728155
promise-ck,ant-1.7,RF-SMOTE,2,0.5833333333333334,0.7,0.6363636363636364
promise-ck,ant-1.7,LR,3,0.527027027027027,0.78,0.6290322580645161
promise-ck,ant-1.7,RF,3,0.6666666666666666,0.44,0.5301204819277109
promise-ck,ant-1.7,XGB,3,0.6458333333333334,0.62,0.6326530612244898
promise-ck,ant-1.7,LGB,3,0.5833333333333334,0.56,0.5714285714285714
promise-ck,ant-1.7,Stacking,3,0.6875,0.44,0.5365853658536586
promise-ck,ant-1.7,RF-HP,3,0.6470588235294118,0.66,0.6534653465346535
promise-ck,ant-1.7,XGB-HP,3,0.5862068965517241,0.68,0.6296296296296297
promise-ck,ant-1.7,LGB-HP,3,0.5555555555555556,0.5,0.5263157894736842
promise-ck,ant-1.7,RF-SMOTE,3,0.5964912280701754,0.68,0.6355140186915887
promise-ck,ant-1.7,LR,4,0.5074626865671642,0.68,0.5811965811965812
promise-ck,ant-1.7,RF,4,0.7105263157894737,0.54,0.6136363636363636
promise-ck,ant-1.7,XGB,4,0.574468085106383,0.54,0.5567010309278351
promise-ck,ant-1.7,LGB,4,0.5686274509803921,0.58,0.5742574257425742
promise-ck,ant-1.7,Stacking,4,0.6470588235294118,0.44,0.5238095238095238
promise-ck,ant-1.7,RF-HP,4,0.6,0.6,0.6
promise-ck,ant-1.7,XGB-HP,4,0.55,0.66,0.6
promise-ck,ant-1.7,LGB-HP,4,0.625,0.5,0.5555555555555556
promise-ck,ant-1.7,RF-SMOTE,4,0.5740740740740741,0.62,0.5961538461538461
promise-ck,ant-1.7,LR,5,0.5223880597014925,0.7,0.5982905982905983
promise-ck,ant-1.7,RF,5,0.7058823529411765,0.48,0.5714285714285714
promise-ck,ant-1.7,XGB,5,0.5833333333333334,0.56,0.5714285714285714
promise-ck,ant-1.7,LGB,5,0.5217391304347826,0.48,0.5
promise-ck,ant-1.7,Stacking,5,0.7333333333333333,0.44,0.55
promise-ck,ant-1.7,RF-HP,5,0.5833333333333334,0.56,0.5714285714285714
promise-ck,ant-1.7,XGB-HP,5,0.5423728813559322,0.64,0.5871559633027523
promise-ck,ant-1.7,LGB-HP,5,0.5185185185185185,0.56,0.5384615384615384
promise-ck,ant-1.7,RF-SMOTE,5,0.6153846153846154,0.64,0.6274509803921569
promise-ck,ant-1.7,LR,6,0.4864864864864865,0.72,0.5806451612903226
promise-ck,ant-1.7,RF,6,0.7222222222222222,0.52,0.6046511627906976
promise-ck,ant-1.7,XGB,6,0.5434782608695652,0.5,0.5208333333333334
promise-ck,ant-1.7,LGB,6,0.6170212765957447,0.58,0.5979381443298969
promise-ck,ant-1.7,Stacking,6,0.7407407407407407,0.4,0.5194805194805194
promise-ck,ant-1.7,RF-HP,6,0.6666666666666666,0.6,0.631578947368421
promise-ck,ant-1.7,XGB-HP,6,0.559322033898305,0.66,0.6055045871559633
promise-ck,ant-1.7,LGB-HP,6,0.7428571428571429,0.52,0.611764705882353
promise-ck,ant-1.7,RF-SMOTE,6,0.5409836065573771,0.66,0.5945945945945946
promise-ck,ant-1.7,LR,7,0.421875,0.54,0.47368421052631576
promise-ck,ant-1.7,RF,7,0.75,0.3,0.42857142857142855
promise-ck,ant-1.7,XGB,7,0.5641025641025641,0.44,0.4943820224719101
promise-ck,ant-1.7,LGB,7,0.5526315789473685,0.42,0.4772727272727273
promise-ck,ant-1.7,Stacking,7,0.7727272727272727,0.34,0.4722222222222222
promise-ck,ant-1.7,RF-HP,7,0.6666666666666666,0.52,0.5842696629213483
promise-ck,ant-1.7,XGB-HP,7,0.5272727272727272,0.58,0.5523809523809524
promise-ck,ant-1.7,LGB-HP,7,0.5526315789473685,0.42,0.4772727272727273
promise-ck,ant-1.7,RF-SMOTE,7,0.5555555555555556,0.5,0.5263157894736842
promise-ck,ant-1.7,LR,8,0.5081967213114754,0.62,0.5585585585585585
promise-ck,ant-1.7,RF,8,0.7142857142857143,0.4,0.5128205128205128
promise-ck,ant-1.7,XGB,8,0.6470588235294118,0.44,0.5238095238095238
promise-ck,ant-1.7,LGB,8,0.6341463414634146,0.52,0.5714285714285714
promise-ck,ant-1.7,Stacking,8,0.8076923076923077,0.42,0.5526315789473685
promise-ck,ant-1.7,RF-HP,8,0.6341463414634146,0.52,0.5714285714285714
promise-ck,ant-1.7,XGB-HP,8,0.6190476190476191,0.52,0.5652173913043478
promise-ck,ant-1.7,LGB-HP,8,0.7272727272727273,0.48,0.5783132530120482
promise-ck,ant-1.7,RF-SMOTE,8,0.627906976744186,0.54,0.5806451612903226
promise-ck,ant-1.7,LR,9,0.4931506849315068,0.72,0.5853658536585366
promise-ck,ant-1.7,RF,9,0.6764705882352942,0.46,0.5476190476190477
promise-ck,ant-1.7,XGB,9,0.5555555555555556,0.6,0.5769230769230769
promise-ck,ant-1.7,LGB,9,0.5490196078431373,0.56,0.5544554455445545
promise-ck,ant-1.7,Stacking,9,0.6451612903225806,0.4,0.49382716049382713
promise-ck,ant-1.7,RF-HP,9,0.5689655172413793,0.66,0.6111111111111112
promise-ck,ant-1.7,XGB-HP,9,0.48484848484848486,0.64,0.5517241379310345
promise-ck,ant-1.7,LGB-HP,9,0.5471698113207547,0.58,0.5631067961165048
promise-ck,ant-1.7,RF-SMOTE,9,0.5423728813559322,0.64,0.5871559633027523
promise-ck,ant-1.7,LR,10,0.5606060606060606,0.74,0.6379310344827587
promise-ck,ant-1.7,RF,10,0.6923076923076923,0.54,0.6067415730337079
promise-ck,ant-1.7,XGB,10,0.5660377358490566,0.6,0.5825242718446602
promise-ck,ant-1.7,LGB,10,0.5714285714285714,0.64,0.6037735849056604
promise-ck,ant-1.7,Stacking,10,0.6842105263157895,0.52,0.5909090909090909
promise-ck,ant-1.7,RF-HP,10,0.625,0.7,0.660377358490566
promise-ck,ant-1.7,XGB-HP,10,0.5967741935483871,0.74,0.6607142857142857
promise-ck,ant-1.7,LGB-HP,10,0.6,0.54,0.5684210526315789
