,,,precision,precision,recall,recall,f1,f1
,,,mean,std,mean,std,mean,std
family,dataset,model,,,,,,
aeeem,EQ,LGB,0.65,0.051,0.675,0.064,0.66,0.043
aeeem,EQ,LGB-HP,0.642,0.05,0.676,0.07,0.657,0.05
aeeem,EQ,LR,0.676,0.057,0.706,0.081,0.687,0.048
aeeem,EQ,RF,0.681,0.046,0.68,0.077,0.679,0.053
aeeem,EQ,RF-HP,0.672,0.055,0.709,0.063,0.688,0.043
aeeem,EQ,RF-SMOTE,0.659,0.049,0.72,0.067,0.686,0.043
aeeem,EQ,Stacking,0.708,0.057,0.633,0.078,0.665,0.05
aeeem,EQ,XGB,0.646,0.052,0.684,0.069,0.663,0.048
aeeem,EQ,XGB-HP,0.668,0.051,0.734,0.061,0.697,0.036
aeeem,JDT,LGB,0.569,0.041,0.499,0.061,0.529,0.038
aeeem,JDT,LGB-HP,0.555,0.049,0.508,0.067,0.528,0.045
aeeem,JDT,LR,0.498,0.042,0.638,0.06,0.558,0.037
aeeem,JDT,RF,0.663,0.05,0.395,0.059,0.492,0.049
aeeem,JDT,RF-HP,0.592,0.046,0.522,0.075,0.551,0.046
aeeem,JDT,RF-SMOTE,0.535,0.042,0.573,0.083,0.55,0.048
aeeem,JDT,Stacking,0.714,0.068,0.415,0.065,0.521,0.056
aeeem,JDT,XGB,0.554,0.038,0.5,0.068,0.522,0.039
aeeem,JDT,XGB-HP,0.543,0.047,0.585,0.064,0.56,0.036
aeeem,LC,LGB,0.396,0.088,0.353,0.117,0.367,0.09
aeeem,LC,LGB-HP,0.42,0.082,0.337,0.108,0.366,0.087
aeeem,LC,LR,0.255,0.038,0.528,0.107,0.342,0.053
aeeem,LC,RF,0.586,0.183,0.189,0.081,0.279,0.1
aeeem,LC,RF-HP,0.406,0.089,0.344,0.109,0.366,0.09
aeeem,LC,RF-SMOTE,0.327,0.068,0.402,0.11,0.356,0.072
aeeem,LC,Stacking,0.697,0.299,0.151,0.086,0.238,0.123
aeeem,LC,XGB,0.404,0.082,0.349,0.119,0.368,0.094
aeeem,LC,XGB-HP,0.352,0.069,0.454,0.119,0.393,0.082
aeeem,ML,LGB,0.385,0.039,0.424,0.052,0.403,0.04
aeeem,ML,LGB-HP,0.38,0.034,0.442,0.053,0.408,0.038
aeeem,ML,LR,0.27,0.017,0.748,0.049,0.397,0.023
aeeem,ML,RF,0.435,0.061,0.263,0.044,0.327,0.046
aeeem,ML,RF-HP,0.393,0.043,0.46,0.058,0.423,0.045
aeeem,ML,RF-SMOTE,0.357,0.034,0.47,0.049,0.405,0.037
aeeem,ML,Stacking,0.513,0.075,0.101,0.029,0.167,0.042
aeeem,ML,XGB,0.369,0.041,0.41,0.056,0.387,0.044
aeeem,ML,XGB-HP,0.34,0.028,0.567,0.05,0.424,0.032
aeeem,PDE,LGB,0.316,0.043,0.254,0.044,0.28,0.036
aeeem,PDE,LGB-HP,0.316,0.05,0.265,0.05,0.287,0.046
aeeem,PDE,LR,0.287,0.027,0.581,0.075,0.383,0.038
aeeem,PDE,RF,0.435,0.135,0.086,0.026,0.141,0.039
aeeem,PDE,RF-HP,0.328,0.054,0.279,0.053,0.299,0.045
