family,dataset,comparison,statistic,p_value,significant
promise-ck,ant-1.7,RF vs LR,51.0,0.0001,True
promise-ck,ant-1.7,XGB vs LR,65.0,0.0003,True
promise-ck,camel-1.6,RF vs LR,0.0,0.0,True
promise-ck,camel-1.6,XGB vs LR,55.0,0.0001,True
promise-ck,ivy-2.0,RF vs LR,8.0,0.0,True
promise-ck,ivy-2.0,XGB vs LR,156.0,0.1836,False
promise-ck,jedit-4.3,RF vs LR,3.0,0.0,True
promise-ck,jedit-4.3,XGB vs LR,7.0,0.0,True
promise-ck,lucene-2.4,RF vs LR,6.0,0.0,True
promise-ck,lucene-2.4,XGB vs LR,34.0,0.0,True
promise-ck,poi-3.0,RF vs LR,0.0,0.0,True
promise-ck,poi-3.0,XGB vs LR,0.0,0.0,True
promise-ck,synapse-1.2,RF vs LR,176.0,0.3695,False
promise-ck,synapse-1.2,XGB vs LR,202.0,0.7375,False
promise-ck,xalan-2.6,RF vs LR,0.0,0.0,True
promise-ck,xalan-2.6,XGB vs LR,7.0,0.0,True
promise-ck,xerces-1.4,RF vs LR,0.0,0.0,True
promise-ck,xerces-1.4,XGB vs LR,0.0,0.0,True
promise-ck,velocity-1.6,RF vs LR,98.0,0.0047,True
promise-ck,velocity-1.6,XGB vs LR,217.0,0.7611,False
aeeem,EQ,RF vs LR,189.0,0.5377,False
aeeem,EQ,XGB vs LR,139.0,0.0549,False
aeeem,JDT,RF vs LR,12.0,0.0,True
aeeem,JDT,XGB vs LR,61.0,0.0002,True
aeeem,LC,RF vs LR,87.0,0.002,True
aeeem,LC,XGB vs LR,167.0,0.184,False
aeeem,ML,RF vs LR,1.0,0.0,True
aeeem,ML,XGB vs LR,175.0,0.2449,False
aeeem,PDE,RF vs LR,0.0,0.0,True
aeeem,PDE,XGB vs LR,0.0,0.0,True
nasa,CM1,RF vs LR,0.0,0.0,True
nasa,CM1,XGB vs LR,134.0,0.0428,True
nasa,JM1,RF vs LR,0.0,0.0,True
nasa,JM1,XGB vs LR,10.0,0.0,True
nasa,KC1,RF vs LR,5.0,0.0,True
nasa,KC1,XGB vs LR,161.0,0.146,False
nasa,MW1,RF vs LR,129.0,0.0333,True
nasa,MW1,XGB vs LR,229.0,0.9515,False
nasa,PC1,RF vs LR,206.0,0.5978,False
nasa,PC1,XGB vs LR,11.0,0.0,True
